npm warn config ignoring workspace config at /app/apps/next-web/.npmrc
/app/apps/next-web/src/@core/components/customizer/index.tsx:183:52: Strings not allowed in JSX files: "Theme Customizer" [Error/react/jsx-no-literals]
/app/apps/next-web/src/@core/components/customizer/index.tsx:184:54: Strings not allowed in JSX files: "Customize & Preview in Real Time" [Error/react/jsx-no-literals]
/app/apps/next-web/src/@core/components/customizer/index.tsx:203:44: Strings not allowed in JSX files: "Primary Color" [Error/react/jsx-no-literals]
/app/apps/next-web/src/@core/components/customizer/index.tsx:264:44: Strings not allowed in JSX files: "Mode" [Error/react/jsx-no-literals]
/app/apps/next-web/src/@core/components/customizer/index.tsx:275:99: Strings not allowed in JSX files: "Light" [Error/react/jsx-no-literals]
/app/apps/next-web/src/@core/components/customizer/index.tsx:288:98: Strings not allowed in JSX files: "Dark" [Error/react/jsx-no-literals]
/app/apps/next-web/src/@core/components/customizer/index.tsx:301:100: Strings not allowed in JSX files: "System" [Error/react/jsx-no-literals]
/app/apps/next-web/src/@core/components/customizer/index.tsx:308:44: Strings not allowed in JSX files: "Skin" [Error/react/jsx-no-literals]
/app/apps/next-web/src/@core/components/customizer/index.tsx:317:101: Strings not allowed in JSX files: "Default" [Error/react/jsx-no-literals]
/app/apps/next-web/src/@core/components/customizer/index.tsx:328:102: Strings not allowed in JSX files: "Bordered" [Error/react/jsx-no-literals]
/app/apps/next-web/src/@core/components/customizer/index.tsx:338:96: Strings not allowed in JSX files: "Semi Dark" [Error/react/jsx-no-literals]
/app/apps/next-web/src/@core/components/customizer/index.tsx:353:44: Strings not allowed in JSX files: "Layouts" [Error/react/jsx-no-literals]
/app/apps/next-web/src/@core/components/customizer/index.tsx:362:104: Strings not allowed in JSX files: "Vertical" [Error/react/jsx-no-literals]
/app/apps/next-web/src/@core/components/customizer/index.tsx:373:105: Strings not allowed in JSX files: "Collapsed" [Error/react/jsx-no-literals]
/app/apps/next-web/src/@core/components/customizer/index.tsx:384:106: Strings not allowed in JSX files: "Horizontal" [Error/react/jsx-no-literals]
/app/apps/next-web/src/@core/components/customizer/index.tsx:391:44: Strings not allowed in JSX files: "Content" [Error/react/jsx-no-literals]
/app/apps/next-web/src/@core/components/customizer/index.tsx:417:22: Strings not allowed in JSX files: "Compact" [Error/react/jsx-no-literals]
/app/apps/next-web/src/@core/components/customizer/index.tsx:435:22: Strings not allowed in JSX files: "Wide" [Error/react/jsx-no-literals]
/app/apps/next-web/src/@core/components/customizer/index.tsx:443:46: Strings not allowed in JSX files: "Direction" [Error/react/jsx-no-literals]
/app/apps/next-web/src/@core/components/customizer/index.tsx:454:57: Strings not allowed in JSX files: "Left to Right" [Error/react/jsx-no-literals]
/app/apps/next-web/src/@core/components/customizer/index.tsx:455:47: Strings not allowed in JSX files: "(English)" [Error/react/jsx-no-literals]
/app/apps/next-web/src/@core/components/customizer/index.tsx:469:57: Strings not allowed in JSX files: "Right to Left" [Error/react/jsx-no-literals]
/app/apps/next-web/src/@core/components/customizer/index.tsx:470:47: Strings not allowed in JSX files: "(Arabic)" [Error/react/jsx-no-literals]
/app/apps/next-web/src/app/[locale]/(admin)/admin/brand-rise/layout.tsx:78:12: Strings not allowed in JSX files: "Acme Corporation" [Error/react/jsx-no-literals]
/app/apps/next-web/src/app/[locale]/(admin)/admin/brand-rise/reports/[reportId]/page.tsx:75:97: Strings not allowed in JSX files: "X:" [Error/react/jsx-no-literals]
/app/apps/next-web/src/app/[locale]/(admin)/admin/brand-rise/reports/[reportId]/page.tsx:76:52: Strings not allowed in JSX files: "| Y:" [Error/react/jsx-no-literals]
/app/apps/next-web/src/app/[locale]/(admin)/admin/brand-rise/reports/[reportId]/page.tsx:135:58: Strings not allowed in JSX files: "Report not found or failed to load" [Error/react/jsx-no-literals]
/app/apps/next-web/src/app/[locale]/(admin)/admin/brand-rise/reports/[reportId]/page.tsx:217:121: Strings not allowed in JSX files: "AI-GENERATED INTELLIGENCE" [Error/react/jsx-no-literals]
/app/apps/next-web/src/app/[locale]/(admin)/admin/brand-rise/reports/[reportId]/page.tsx:221:96: Strings not allowed in JSX files: "Brand Opportunities Report" [Error/react/jsx-no-literals]
/app/apps/next-web/src/app/[locale]/(admin)/admin/brand-rise/reports/[reportId]/page.tsx:228:88: Strings not allowed in JSX files: "Generated:" [Error/react/jsx-no-literals]
/app/apps/next-web/src/app/[locale]/(admin)/admin/brand-rise/reports/[reportId]/page.tsx:234:88: Strings not allowed in JSX files: "18 Competitors Analyzed" [Error/react/jsx-no-literals]
/app/apps/next-web/src/app/[locale]/(admin)/admin/brand-rise/reports/[reportId]/page.tsx:248:30: Strings not allowed in JSX files: "Share" [Error/react/jsx-no-literals]
/app/apps/next-web/src/app/[locale]/(admin)/admin/brand-rise/reports/[reportId]/page.tsx:262:30: Strings not allowed in JSX files: "Export PDF" [Error/react/jsx-no-literals]
/app/apps/next-web/src/app/[locale]/(admin)/admin/brand-rise/reports/[reportId]/page.tsx:281:113: Strings not allowed in JSX files: "94" [Error/react/jsx-no-literals]
/app/apps/next-web/src/app/[locale]/(admin)/admin/brand-rise/reports/[reportId]/page.tsx:282:143: Strings not allowed in JSX files: "CONFIDENCE" [Error/react/jsx-no-literals]
/app/apps/next-web/src/app/[locale]/(admin)/admin/brand-rise/reports/[reportId]/page.tsx:293:102: Strings not allowed in JSX files: "Market Positioning Map" [Error/react/jsx-no-literals]
/app/apps/next-web/src/app/[locale]/(admin)/admin/brand-rise/reports/[reportId]/page.tsx:313:124: Strings not allowed in JSX files: "Premium Enterprise" [Error/react/jsx-no-literals]
/app/apps/next-web/src/app/[locale]/(admin)/admin/brand-rise/reports/[reportId]/page.tsx:316:102: Strings not allowed in JSX files: "Large agencies targeting Fortune 500 with comprehensive packages." [Error/react/jsx-no-literals]
/app/apps/next-web/src/app/[locale]/(admin)/admin/brand-rise/reports/[reportId]/page.tsx:327:124: Strings not allowed in JSX files: "Mid-Market Generalist" [Error/react/jsx-no-literals]
/app/apps/next-web/src/app/[locale]/(admin)/admin/brand-rise/reports/[reportId]/page.tsx:330:102: Strings not allowed in JSX files: "Full-service agencies serving mid-sized businesses with diverse offerings." [Error/react/jsx-no-literals]
/app/apps/next-web/src/app/[locale]/(admin)/admin/brand-rise/reports/[reportId]/page.tsx:341:124: Strings not allowed in JSX files: "Niche Specialist" [Error/react/jsx-no-literals]
/app/apps/next-web/src/app/[locale]/(admin)/admin/brand-rise/reports/[reportId]/page.tsx:344:102: Strings not allowed in JSX files: "Specialized agencies focusing on specific industries with premium positioning." [Error/react/jsx-no-literals]
/app/apps/next-web/src/app/[locale]/(admin)/admin/brand-rise/reports/[reportId]/page.tsx:362:104: Strings not allowed in JSX files: "Top Market Gaps & Opportunities" [Error/react/jsx-no-literals]
/app/apps/next-web/src/app/[locale]/(admin)/admin/brand-rise/reports/[reportId]/page.tsx:428:103: Strings not allowed in JSX files: "Differentiation Strategies" [Error/react/jsx-no-literals]
/app/apps/next-web/src/app/[locale]/(admin)/admin/brand-rise/reports/[reportId]/page.tsx:487:111: Strings not allowed in JSX files: "Content Ideas (Aligned with Competitor Gaps)" [Error/react/jsx-no-literals]
/app/apps/next-web/src/app/[locale]/(admin)/admin/brand-rise/reports/page.tsx:165:51: Strings not allowed in JSX files: "..." [Error/react/jsx-no-literals]
/app/apps/next-web/src/app/[locale]/(admin)/admin/locations/LocationList.client.tsx:47:36: Strings not allowed in JSX files: "Loading..." [Error/react/jsx-no-literals]
/app/apps/next-web/src/app/[locale]/(admin)/admin/locations/[id]/page.tsx:177:58: Strings not allowed in JSX files: "Social Integrations" [Error/react/jsx-no-literals]
/app/apps/next-web/src/app/[locale]/(admin)/admin/locations/[id]/page.tsx:178:67: Strings not allowed in JSX files: "Connect your social media accounts to sync posts and reviews." [Error/react/jsx-no-literals]
/app/apps/next-web/src/app/[locale]/(admin)/admin/locations/[id]/social-connections/page.tsx:13:42: Strings not allowed in JSX files: "Social Integrations" [Error/react/jsx-no-literals]
